datetime = 28/07/2009 10:43:03, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 249.9984, results processing = 0, total execute = 406.2474
datetime = 27/07/2009 10:45:04, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 187.4988
datetime = 25/07/2009 10:45:04, user = WSDEV\lnpair1, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 406.2474
datetime = 25/07/2009 10:45:04, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 187.4988
datetime = 25/07/2009 10:45:04, user = WSDEV\lnpair1, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 187.4988
datetime = 24/07/2009 10:45:04, user = WSDEV\lnpair1, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 100.2474
datetime = 24/07/2009 10:45:04, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 187.4988
datetime = 24/07/2009 10:45:04, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 157.4988
datetime = 23/07/2009 10:45:04, user = WSDEV\lnpair1, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 1226.2474
datetime = 23/07/2009 10:45:04, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 937.4988
datetime = 23/07/2009 10:45:04, user = WSDEV\lnpair1, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 187.4988
datetime = 22/07/2009 10:45:04, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 106.2474
datetime = 22/07/2009 10:45:04, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 157.4988
datetime = 22/07/2009 10:45:04, user = WSDEV\lnpair1, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 287.4988
datetime = 21/07/2009 10:45:04, user = WSDEV\lnpair1, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 1206.2474
datetime = 21/07/2009 10:45:04, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 137.4988
datetime = 21/07/2009 10:45:04, user = WSDEV\lnpair1, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 157.4988
datetime = 20/07/2009 10:45:04, user = WSDEV\lnpair1, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 406.2474
datetime = 20/07/2009 10:45:04, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 187.4988
datetime = 20/07/2009 10:45:04, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 187.4988
